Player Name,Player ID
Russell Westbrook,westbru01
James Harden,hardeja01
Isaiah Thomas,thomais02
Anthony Davis,davisan02
DeMar DeRozan,derozde01
DeMarcus Cousins,couside01
Damian Lillard,lillada01
LeBron James,jamesle01
Kawhi Leonard,leonaka01
Stephen Curry,curryst01
Kyrie Irving,irvinky01
Kevin Durant,duranke01
Karl-Anthony Towns,townska01
Jimmy Butler,butleji01
Paul George,georgpa01
Andrew Wiggins,wiggian01
Kemba Walker,walkeke02
Bradley Beal,bealbr01
John Wall,walljo01
CJ McCollum,mccolcj01
Giannis Antetokounmpo,antetgi01
Carmelo Anthony,anthoca01
Kyle Lowry,lowryky01
Klay Thompson,thompkl01
Devin Booker,bookede01
Gordon Hayward,haywago01
Blake Griffin,griffbl01
Eric Bledsoe,bledser01
Mike Conley,conlemi01
Brook Lopez,lopezbr01
Goran Dragic,dragigo01
Joel Embiid,embiijo01
Jabari Parker,parkeja01
Marc Gasol,gasolma01
Harrison Barnes,barneha02
Kevin Love,loveke01
Zach LaVine,lavinza01
Rudy Gay,gayru01
Dwyane Wade,wadedw01
Danilo Gallinari,gallida01
Paul Millsap,millspa01
Chris Paul,paulch01
Kristaps Porzingis,porzikr01
Derrick Rose,rosede01
Dennis Schroder,schrode01
Lou Williams,willilo02
LaMarcus Aldridge,aldrila01
Evan Fournier,fournev01
Hassan Whiteside,whiteha01
George Hill,hillge01
Nikola Jokic,jokicni01
Avery Bradley,bradlav01
Eric Gordon,gordoer01
Tobias Harris,harrito02
Victor Oladipo,oladivi01
Dion Waiters,waitedi01
Wilson Chandler,chandwi01
D'Angelo Russell,russeda01
Jrue Holiday,holidjr01
Jeff Teague,teaguje01
Nicolas Batum,batumni01
JJ Redick,redicjj01
Gary Harris,harriga01
Serge Ibaka,ibakase01
Jordan Clarkson,clarkjo01
Khris Middleton,middlkh01
Nikola Vucevic,vucevni01
Tim Hardaway Jr.,hardati02
Reggie Jackson,jacksre01
Jeremy Lin,linje01
Myles Turner,turnemy01
T.J. Warren,warretj01
Enes Freedom,kanteen01
Dirk Nowitzki,nowitdi01
Jordan Crawford,crawfjo02
Zach Randolph,randoza01
Rudy Gobert,goberru01
Al Horford,horfoal01
Marcus Morris,morrima03
Markieff Morris,morrima02
Jae Crowder,crowdja01
Kentavious Caldwell-Pope,caldwke01
Bojan Bogdanovic,bogdabo02
Will Barton,bartowi01
Tyler Johnson,johnsty01
Ryan Anderson,anderry01
Andre Drummond,drumman01
Dwight Howard,howardw01
Wesley Matthews,matthwe02
Otto Porter Jr.,porteot01
Darren Collison,collida01
Julius Randle,randlju01
Nick Young,youngni01
Ersan Ilyasova,ilyaser01
Sean Kilpatrick,kilpase01
Robert Covington,covinro01
Seth Curry,curryse01
James Johnson,johnsja01
Elfrid Payton,paytoel01
Dario Saric,saricda01
Aaron Gordon,gordoaa01
Rodney Hood,hoodro01
DeAndre Jordan,jordade01
Clint Capela,capelca01
Pau Gasol,gasolpa01
Jamal Crawford,crawfja01
Austin Rivers,riverau01
Jonas Valanciunas,valanjo01
Jahlil Okafor,okafoja01
Trevor Ariza,arizatr01
Frank Kaminsky,kaminfr01
Greg Monroe,monrogr01
Steven Adams,adamsst01
Marvin Williams,willima02
Ricky Rubio,rubiori01
Deron Williams,willide01
Terrence Ross,rosste01
Jerryd Bayless,bayleje01
Kent Bazemore,bazemke01
Brandon Knight,knighbr03
Emmanuel Mudiay,mudiaem01
Thaddeus Young,youngth01
J.J. Barea,bareajo01
Justise Winslow,winslju01
Taj Gibson,gibsota01
Terrence Jones,joneste01
Marcin Gortat,gortama01
Courtney Lee,leeco01
Allen Crabbe,crabbal01
C.J. Miles,milescj01
Alex Poythress,poythal01
Buddy Hield,hieldbu01
Nikola Mirotic,mirotni01
Marcus Smart,smartma01
Marco Belinelli,belinma01
Wayne Ellington,ellinwa01
Mason Plumlee,plumlma01
Robin Lopez,lopezro01
Tyreke Evans,evansty01
Cody Zeller,zelleco01
Jusuf Nurkic,nurkiju01
Malcolm Brogdon,brogdma01
Draymond Green,greendr01
Jon Leuer,leuerjo01
Josh Richardson,richajo01
Kyle Korver,korveky01
Tony Parker,parketo01
Yogi Ferrell,ferreyo01
Trevor Booker,booketr01
Gorgui Dieng,dienggo01
Maurice Harkless,harklma01
Ty Lawson,lawsoty01
Shabazz Muhammad,muhamsh01
Jamal Murray,murraja01
Richaun Holmes,holmeri01
Jeremy Lamb,lambje01
Kenneth Faried,farieke01
E'Twaun Moore,mooreet01
Patrick Beverley,beverpa01
Derrick Favors,favorde01
Patty Mills,millspa02
Nik Stauskas,stausni01
Michael Beasley,beaslmi01
Brandon Ingram,ingrabr01
Ish Smith,smithis01
Cory Joseph,josepco01
Marquese Chriss,chrisma01
Jeff Green,greenje02
Gerald Henderson,hendege02
Joe Johnson,johnsjo02
Michael Kidd-Gilchrist,kiddgmi01
Jameer Nelson,nelsoja01
Tony Allen,allento01
Channing Frye,fryech01
Montrezl Harrell,harremo01
Nene,hilarne01
Jodie Meeks,meeksjo01
Doug McDermott,mcderdo01
Dahntay Jones,jonesda02
Kelly Olynyk,olynyke01
Evan Turner,turneev01
DeMarre Carroll,carrode01
JaMychal Green,greenja01
Skal Labissiere,labissk01
Nerlens Noel,noelne01
Al-Farouq Aminu,aminual01
Rondae Hollis-Jefferson,holliro01
Marreese Speights,speigma01
J.R. Smith,smithjr01
Monta Ellis,ellismo01
Tony Snell,snellto01
Arron Afflalo,afflaar01
Tyson Chandler,chandty01
Norman Powell,powelno01
Troy Daniels,danietr01
Joe Harris,harrijo01
Willy Hernangomez,hernawi01
Caris LeVert,leverca01
Shawn Long,longsh01
Willie Cauley-Stein,caulewi01
Al Jefferson,jeffeal01
Ben McLemore,mclembe01
Tristan Thompson,thomptr01
Vince Carter,cartevi01
Alex Len,lenal01
Langston Galloway,gallola01
D.J. Augustin,augusdj01
Shelvin Mack,macksh01
Sergio Rodriguez,rodrise01
Rajon Rondo,rondora01
Garrett Temple,templga01
Justin Holiday,holidju01
Matthew Dellavedova,dellama01
Luol Deng,denglu01
Andre Iguodala,iguodan01
Manu Ginobili,ginobma01
Iman Shumpert,shumpim01
Ivica Zubac,zubaciv01
Timofey Mozgov,mozgoti01
Isaiah Whitehead,whiteis01
Alan Williams,willial03
Archie Goodwin,goodwar01
Spencer Dinwiddie,dinwisp01
Danny Green,greenda02
David Lee,leeda02
Tyler Ulis,ulisty01
Thabo Sefolosha,sefolth01
Rodney Stuckey,stuckro01
Brandon Jennings,jennibr01
Justin Anderson,anderju01
Matt Barnes,barnema02
Tim Frazier,fraziti01
Joe Ingles,inglejo01
Larry Nance Jr.,nancela02
Anthony Tolliver,tollian01
Solomon Hill,hillso01
Josh Huestis,huestjo01
Justin Hamilton,hamilju01
T.J. McConnell,mccontj01
Lance Stephenson,stephla01
Ian Clark,clarkia01
Jared Dudley,dudleja01
John Henson,hensojo01
Patrick Patterson,pattepa01
Bobby Portis,portibo01
Brandan Wright,wrighbr03
P.J. Tucker,tuckepj01
Alec Burks,burksal01
James Ennis III,ennisja01
Raymond Felton,feltora01
Devin Harris,harride01
Dwight Powell,poweldw01
Jaylen Brown,brownja02
Michael Carter-Williams,cartemi01
Dante Cunningham,cunnida01
Kosta Koufos,koufoko01
Andre Roberson,roberan03
Marcus Thornton,thornma01
Sam Dekker,dekkesa01
Amir Johnson,johnsam01
Darrell Arthur,arthuda01
Timothe Luwawu-Cabarrot,luwawti01
Rodney McGruder,mcgruro01
Mirza Teletovic,teletmi01
Leandro Barbosa,barbole01
Mindaugas Kuzminskas,kuzmimi01
Kyle O'Quinn,oquinky01
Kelly Oubre Jr.,oubreke01
Troy Williams,willitr02
Spencer Hawes,hawessp01
Nemanja Bjelica,bjeline01
Dante Exum,exumda01
Jonathan Gibson,gibsojo01
Trey Lyles,lylestr01
Mike Muscala,muscami01
Chandler Parsons,parsoch01
Ramon Sessions,sessira01
Jonathon Simmons,simmojo02
Derrick Williams,willide02
Luc Mbah a Moute,mbahalu01
JaVale McGee,mcgeeja01
Zaza Pachulia,pachuza01
Glenn Robinson III,robingl02
Alex Abrines,abrinal01
Bismack Biyombo,biyombi01
Jordan Farmar,farmajo01
David Nwaba,nwabada01
Lance Thomas,thomala01
Jerian Grant,grantje02
Andrew Harrison,harrian01
Domantas Sabonis,sabondo01
Quincy Acy,acyqu01
Beno Udrih,udrihbe01
Tarik Black,blackta01
Richard Jefferson,jefferi01
Taurean Prince,princta02
Jason Smith,smithja02
Quinn Cook,cookqu01
Brandon Bass,bassbr01
Gerald Green,greenge01
Ian Mahinmi,mahinia01
Georgios Papagiannis,papagge01
Delon Wright,wrighde01
Jerami Grant,grantje01
Anthony Morrow,morroan01
Boban Marjanovic,marjabo01
Terry Rozier,roziete01
Paul Zipser,zipsepa01
Joffrey Lauvergne,lauvejo01
Malcolm Delaney,delanma01
Meyers Leonard,leoname01
Alexis Ajinca,ajincal01
Derrick Jones Jr.,jonesde02
Chasson Randle,randlch01
Willie Reed,reedwi02
Omri Casspi,casspom01
Mike Dunleavy,dunlemi02
Cameron Payne,payneca01
Randy Foye,foyera01
Hollis Thompson,thompho01
Wayne Selden,seldewa01
Dewayne Dedmon,dedmode01
Cheick Diallo,diallch01
Shaun Livingston,livinsh01
Luis Scola,scolalu01
Denzel Valentine,valende01
Anthony Bennett,bennean01
Aaron Brooks,brookaa01
Trey Burke,burketr01
Joakim Noah,noahjo01
Thomas Robinson,robinth01
Aron Baynes,baynear01
Toney Douglas,douglto01
Juancho Hernangomez,hernaju01
Mario Hezonja,hezonma01
